10000   0.000031    0.000000
20000   0.000061    0.000001
30000   0.000113    0.000000
40000   0.000145    0.000000
50000   0.000162    0.000000
60000   0.000262    0.000000
70000   0.000297    0.000001
80000   0.000311    0.000000
90000   0.000422    0.000001
100000  0.000470    0.000000
110000  0.000569    0.000001
120000  0.000537    0.000000
130000  0.000610    0.000001
140000  0.000675    0.000000
150000  0.000756    0.000000
160000  0.000775    0.000001
170000  0.000809    0.000000
180000  0.000862    0.000000
190000  0.000899    0.000001
200000  0.000936    0.000001
