10000   253     8714
20000   1010    18529
30000   2185    28445
40000   3854    38392
50000   5899    48343
60000   8294    58313
70000   10994   68278
80000   14109   78257
90000   17497   88237
100000  21269   98218
110000  25344   108203
120000  29773   118185
130000  34379   128175
140000  39260   138169
150000  44441   148157
160000  49798   158145
170000  55438   168131
180000  61240   178122
190000  67272   188115
200000  73455   198107
